"generic_names","rxnorm1","rxnorm_str1","rxnorm2","rxnorm_str2"
"edoxaban",1599538,"edoxaban",1599538,"edoxaban"
"urokinase",11055,"urokinase",11055,"urokinase"
"intravenous fluids",NA,NA,NA,NA
"haloperidol injection",NA,NA,NA,NA
"desvenlafaxine",734064,"desvenlafaxine",734064,"desvenlafaxine"
"vilazodone",1086769,"vilazodone",1086769,"vilazodone"
"pregabalin",187832,"pregabalin",187832,"pregabalin"
"phentolamine",8153,"phentolamine",8153,"phentolamine"
"collagenase topical",NA,NA,NA,NA
"cadexomer iodine gel",NA,NA,NA,NA
"becaplermin topical",NA,NA,NA,NA
"betamethasone valerate",NA,NA,NA,NA
"hydrocortisone with aloe cream, gel, and ointment",NA,NA,NA,NA
"balsam peru and castor oil topical",NA,NA,NA,NA
"balsam peru, castor oil, and trypsin topical",NA,NA,NA,NA
"zinc oxide",11423,"zinc oxide",11423,"zinc oxide"
"sodium hyaluronate",NA,NA,NA,NA
"hyaluronate sodium cream, gel, and spray",NA,NA,NA,NA
"hydroquinone topical",NA,NA,NA,NA
"urea topical",NA,NA,NA,NA
"betamethasone lotion",NA,NA,NA,NA
"hydrocortisone and pramoxine",NA,NA,106955,"hydrocortisone / pramoxine"
"pramoxine and hydrocortisone rectal cream",NA,NA,NA,NA
"pramoxine and hydrocortisone cream, gel, and ointment",NA,NA,NA,NA
"silver",NA,NA,NA,NA
"mycophenolic acid",7145,"mycophenolic acid",7145,"mycophenolic acid"
"griseofulvin ultramicrosize tablets",NA,NA,NA,NA
"griseofulvin",5021,"griseofulvin",5021,"griseofulvin"
"hydrochlorothiazide",5487,"hydrochlorothiazide",5487,"hydrochlorothiazide"
"desmopressin",3251,"desmopressin",3251,"desmopressin"
"insulin lispro",86009,"insulin lispro",86009,"insulin lispro"
"insulin glargine",274783,"insulin glargine",274783,"insulin glargine"
"insulin aspart",NA,NA,51428,"insulin aspart, human"
"insulin detemir",139825,"insulin detemir",139825,"insulin detemir"
"insulin glulisine",NA,NA,400008,"insulin glulisine, human"
"insulin lispro pens",NA,NA,NA,NA
"insulin",NA,NA,253182,"insulin, regular, human"
"insulin isophane",1605101,"insulin isophane",1605101,"insulin isophane"
"insulin regular",NA,NA,253182,"insulin, regular, human"
"pramlintide",139953,"pramlintide",139953,"pramlintide"
"insulin isophane and insulin regular",NA,NA,NA,NA
"insulin lispro and insulin lispro protamine",NA,NA,NA,NA
"insulin degludec",1670007,"insulin degludec",1670007,"insulin degludec"
"sitagliptin",593411,"sitagliptin",593411,"sitagliptin"
"glipizide",4821,"glipizide",4821,"glipizide"
"glimepiride",25789,"glimepiride",25789,"glimepiride"
"pioglitazone",33738,"pioglitazone",33738,"pioglitazone"
"metformin and sitagliptin",NA,NA,729717,"metformin / sitagliptin"
"exenatide",60548,"exenatide",60548,"exenatide"
"dapagliflozin",1488564,"dapagliflozin",1488564,"dapagliflozin"
"linagliptin",1100699,"linagliptin",1100699,"linagliptin"
"saxagliptin",857974,"saxagliptin",857974,"saxagliptin"
"metformin",6809,"metformin",6809,"metformin"
"ranibizumab",595060,"ranibizumab",595060,"ranibizumab"
"aflibercept ophthalmic",NA,NA,NA,NA
"fluocinolone ophthalmic implant",NA,NA,NA,NA
"irbesartan",83818,"irbesartan",83818,"irbesartan"
"benazepril",18867,"benazepril",18867,"benazepril"
"moexipril",30131,"moexipril",30131,"moexipril"
"trandolapril",38454,"trandolapril",38454,"trandolapril"
"tapentadol",787390,"tapentadol",787390,"tapentadol"
"capsaicin in lidocaine cream",NA,NA,NA,NA
"tuberculin tests",NA,NA,NA,NA
"regadenoson",640062,"regadenoson",640062,"regadenoson"
"thyrotropin alfa",4952,"thyrotropin alfa",4952,"thyrotropin alfa"
"diatrizoate meglumine and diatrizoate sodium",NA,NA,NA,NA
"metyrapone",6923,"metyrapone",6923,"metyrapone"
"glucagon",4832,"glucagon",4832,"glucagon"
"technetium tc 99m tetrofosmin",NA,NA,NA,NA
"iobenguane i-123",NA,NA,NA,NA
"florbetapir f 18",NA,NA,NA,NA
"methacholine",155080,"methacholine",155080,"methacholine"
"secretin",9627,"secretin",9627,"secretin"
"miconazole and zinc oxide topical",NA,NA,NA,NA
"lanolin topical",NA,NA,NA,NA
"menthol and zinc oxide powder",NA,NA,NA,NA
"vitamin a and vitamin d",NA,NA,97016,"vitamin a / vitamin d"
"menthol and zinc oxide ointment and paste",NA,NA,NA,NA
"vitamins a, d, and e",NA,NA,NA,NA
"loperamide",6468,"loperamide",6468,"loperamide"
"loperamide capsules and tablets",NA,NA,NA,NA
"loperamide and simethicone",NA,NA,214681,"loperamide / simethicone"
"difenoxin and atropine",NA,NA,NA,NA
"colesevelam",141626,"colesevelam",141626,"colesevelam"
"bismuth subsalicylate",19478,"bismuth subsalicylate",19478,"bismuth subsalicylate"
"atropine and diphenoxylate",NA,NA,594040,"atropine / diphenoxylate"
"saccharomyces boulardii lyo",NA,NA,236782,"saccharomyces boulardii"
"codeine",2670,"codeine",2670,"codeine"
"opium preparation",NA,NA,7676,"opium"
"alosetron",85248,"alosetron",85248,"alosetron"
"crofelemer",1364449,"crofelemer",1364449,"crofelemer"
"omega-3 polyunsaturated fatty acids",NA,NA,NA,NA
"multivitamins",NA,NA,NA,NA
"ascorbic acid",1151,"ascorbic acid",1151,"ascorbic acid"
"biotin",1588,"biotin",1588,"biotin"
"calcium and vitamin d combination",NA,NA,NA,NA
"calcium citrate",47613,"calcium citrate",47613,"calcium citrate"
"methylfolate, methylcobalamin, and acetylcysteine",NA,NA,NA,NA
"chondroitin and glucosamine",NA,NA,NA,NA
"vitamins",NA,NA,NA,NA
"bifidobacterium and lactobacillus",NA,NA,NA,NA
"vitamin b complex combinations liquid",NA,NA,NA,NA
"chondroitin, glucosamine, and methylsulfonylmethane",NA,NA,NA,NA
"folic acid, cyanocobalamin, and pyridoxine",NA,NA,NA,NA
"axicabtagene ciloleucel",1987398,"axicabtagene ciloleucel",1987398,"axicabtagene ciloleucel"
"polatuzumab vedotin",2174090,"polatuzumab vedotin",2174090,"polatuzumab vedotin"
"digoxin immune fab",NA,NA,203223,"digoxin antibodies fab fragments"
"tetanus, diphtheria, acellular pertussis vaccine",NA,NA,NA,NA
"diphtheria and tetanus toxoids vaccine",NA,NA,NA,NA
"tetanus and diphtheria toxoids vaccine",NA,NA,NA,NA
"diphtheria, tetanus, acellular pertussis vaccine pediatric",NA,NA,NA,NA
"diphtheria, haemophilus b, pertussis, polio, tetanus vaccine",NA,NA,NA,NA
"diphtheria, tetanus, and acellular pertussis vaccine",NA,NA,NA,NA
"diphtheria, hepatitis b, pertussis, polio, and tetanus vaccine",NA,NA,NA,NA
"diphtheria, pertussis acellular, polio, tetanus vaccine",NA,NA,NA,NA
"stiripentol",2054968,"stiripentol",2054968,"stiripentol"
"cannabidiol",2045371,"cannabidiol",2045371,"cannabidiol"
"caffeine capsules and tablets",NA,NA,NA,NA
"caffeine",1886,"caffeine",1886,"caffeine"
"cyclosporine ophthalmic",NA,NA,NA,NA
"lifitegrast ophthalmic",NA,NA,NA,NA
"ocular lubricant",NA,NA,NA,NA
"artificial tears eye ointment",NA,NA,NA,NA
"artificial tears eye drops",NA,NA,NA,NA
"carboxymethylcellulose",2062,"carboxymethylcellulose",2062,"carboxymethylcellulose"
"hydroxypropyl cellulose",NA,NA,27291,"hydroxypropylcellulose"
"hypromellose ophthalmic",NA,NA,NA,NA
"hydroxypropyl methylcellulose",NA,NA,27334,"hypromellose"
"ammonium lactate topical",NA,NA,NA,NA
"topical emollients",NA,NA,NA,NA
"emollient cream, emulsion, gel, lotion, and ointment",NA,NA,NA,NA
"urea cream and ointment",NA,NA,NA,NA
"deflazacort",22396,"deflazacort",22396,"deflazacort"
"eteplirsen",1810569,"eteplirsen",1810569,"eteplirsen"
"golodirsen",2267207,"golodirsen",2267207,"golodirsen"
"acarbose",16681,"acarbose",16681,"acarbose"
"methscopolamine",89785,"methscopolamine",89785,"methscopolamine"
"ranitidine",9143,"ranitidine",9143,"ranitidine"
"sucralfate",10156,"sucralfate",10156,"sucralfate"
"famotidine tablets",NA,NA,NA,NA
"famotidine chewable tablets",NA,NA,NA,NA
"famotidine oral suspension",NA,NA,NA,NA
"belladonna alkaloids and phenobarbital",NA,NA,1007608,"belladonna alkaloids / phenobarbital"
"calcium carbonate",1897,"calcium carbonate",1897,"calcium carbonate"
"collagenase clostridium histolyticum",898492,"collagenase clostridium histolyticum",898492,"collagenase clostridium histolyticum"
"midodrine",6963,"midodrine",6963,"midodrine"
"pyridostigmine",9000,"pyridostigmine",9000,"pyridostigmine"
"pitavastatin",861634,"pitavastatin",861634,"pitavastatin"
"fluvastatin",41127,"fluvastatin",41127,"fluvastatin"
"mefenamic acid",NA,NA,NA,NA
"ketoprofen",6142,"ketoprofen",6142,"ketoprofen"
"ospemifene",1370971,"ospemifene",1370971,"ospemifene"
"prasterone vaginal",NA,NA,NA,NA
"calcium carbonate chewable tablets",NA,NA,NA,NA
"aluminum hydroxide, magnesium hydroxide, and simethicone suspension",NA,NA,NA,NA
"aluminum hydroxide, magnesium hydroxide, and simethicone",NA,NA,NA,NA
"aluminum hydroxide",612,"aluminum hydroxide",612,"aluminum hydroxide"
"phenazopyridine",8120,"phenazopyridine",8120,"phenazopyridine"
"oxybutynin",32675,"oxybutynin",32675,"oxybutynin"
"flavoxate",4440,"flavoxate",4440,"flavoxate"
"amifampridine",2106338,"amifampridine",2106338,"amifampridine"
"amifampridine tablets",NA,NA,NA,NA
"perflutren",NA,NA,NA,NA
"halobetasol topical",NA,NA,NA,NA
"fluocinolone",25126,"fluocinolone",25126,"fluocinolone"
"clocortolone topical",NA,NA,NA,NA
"alclometasone topical",NA,NA,NA,NA
"metolazone",6916,"metolazone",6916,"metolazone"
"hydrochlorothiazide and triamterene",NA,NA,258337,"hydrochlorothiazide / triamterene"
"chlorthalidone",2409,"chlorthalidone",2409,"chlorthalidone"
"methylene blue",6878,"methylene blue",6878,"methylene blue"
"oxacillin",7773,"oxacillin",7773,"oxacillin"
"nafcillin",7233,"nafcillin",7233,"nafcillin"
"oxacillin sodium",NA,NA,NA,NA
"lenvatinib",1603296,"lenvatinib",1603296,"lenvatinib"
"elagolix",2049846,"elagolix",2049846,"elagolix"
"simethicone",9796,"simethicone",9796,"simethicone"
"iopamidol",5966,"iopamidol",5966,"iopamidol"
"hyoscyamine sublingual tablets",NA,NA,NA,NA
"hyoscyamine tablets",NA,NA,NA,NA
"simethicone suspension",NA,NA,NA,NA
"hyoscyamine liquid",NA,NA,NA,NA
"simethicone chewable tablets",NA,NA,NA,NA
"hyoscyamine orally disintegrating tablets",NA,NA,NA,NA
"chlordiazepoxide and clidinium",NA,NA,611854,"chlordiazepoxide / clidinium"
"hyoscyamine, atropine, scopolamine, and phenobarbital tablets",NA,NA,NA,NA
"imipramine",5691,"imipramine",5691,"imipramine"
"cefuroxime injection",NA,NA,NA,NA
"levetiracetam",114477,"levetiracetam",114477,"levetiracetam"
"felbamate",24812,"felbamate",24812,"felbamate"
"tazemetostat",2274378,"tazemetostat",2274378,"tazemetostat"
"vemurafenib",1147220,"vemurafenib",1147220,"vemurafenib"
"sildenafil",136411,"sildenafil",136411,"sildenafil"
"vardenafil",306674,"vardenafil",306674,"vardenafil"
"alprostadil",598,"alprostadil",598,"alprostadil"
"alprostadil injection",NA,NA,NA,NA
"avanafil",1291301,"avanafil",1291301,"avanafil"
"alprostadil urethral suppository",NA,NA,NA,NA
"omeprazole and sodium bicarbonate",NA,NA,617777,"omeprazole / sodium bicarbonate"
"porfimer",NA,NA,23066,"dihematoporphyrin ether"
"nivolumab",1597876,"nivolumab",1597876,"nivolumab"
"isosorbide dinitrate extended-release capsules and tablets",NA,NA,NA,NA
"isosorbide dinitrate tablets",NA,NA,NA,NA
"ethanolamine oleate",24460,"ethanolamine oleate",24460,"ethanolamine oleate"
"fomepizole",15226,"fomepizole",15226,"fomepizole"
"dactinomycin",3100,"dactinomycin",3100,"dactinomycin"
"calcium gluconate",1908,"calcium gluconate",1908,"calcium gluconate"
"calcium gluconate capsules and tablets",NA,NA,NA,NA
"hepatitis b immune globulin",26744,"hepatitis b immune globulin",26744,"hepatitis b immune globulin"
"benztropine",1424,"benztropine",1424,"benztropine"
"hyaluronidase",5464,"hyaluronidase",5464,"hyaluronidase"
"fluorometholone ophthalmic",NA,NA,NA,NA
"tetrahydrozoline ophthalmic",NA,NA,NA,NA
"naphazoline ophthalmic",NA,NA,NA,NA
"fluorometholone eye ointment",NA,NA,NA,NA
"brimonidine ophthalmic",NA,NA,NA,NA
"phenylephrine ophthalmic",NA,NA,NA,NA
"povidone and tetrahydrozoline ophthalmic",NA,NA,NA,NA
"oxymetazoline ophthalmic",NA,NA,NA,NA
"naphazoline and pheniramine ophthalmic",NA,NA,NA,NA
"tetrahydrozoline and zinc ophthalmic",NA,NA,NA,NA
"bimatoprost topical ophthalmic",NA,NA,NA,NA
"agalsidase beta",338817,"agalsidase beta",338817,"agalsidase beta"
"migalastat",2054252,"migalastat",2054252,"migalastat"
"coagulation factor ix",NA,NA,4249,"factor ix"
"coagulation factor ix",NA,NA,1670383,"factor ix complex"
"factor ix complex",1670383,"factor ix complex",1670383,"factor ix complex"
"coagulation factor viia",NA,NA,4256,"factor viia"
"coagulation factor x",NA,NA,4262,"factor x"
"factor xiii",4271,"factor xiii",4271,"factor xiii"
"niraparib",1918231,"niraparib",1918231,"niraparib"
"ergocalciferol",4018,"ergocalciferol",4018,"ergocalciferol"
"triclabendazole",2118525,"triclabendazole",2118525,"triclabendazole"
"dextranomer and sodium hyaluronate",NA,NA,NA,NA
"auranofin",1227,"auranofin",1227,"auranofin"
"clomiphene",2596,"clomiphene",2596,"clomiphene"
"human chorionic gonadotropin",NA,NA,4986,"chorionic gonadotropin"
"menotropins",NA,NA,NA,NA
"urofollitropin",134404,"urofollitropin",134404,"urofollitropin"
"ibuprofen suspension",NA,NA,NA,NA
"ibuprofen chewable tablets",NA,NA,NA,NA
"aminocaproic acid",NA,NA,99,"6-aminocaproic acid"
"milnacipran",588250,"milnacipran",588250,"milnacipran"
"nabilone",31447,"nabilone",31447,"nabilone"
"metaxalone",59078,"metaxalone",59078,"metaxalone"
"alpha-galactosidase tablets",NA,NA,NA,NA
"simethicone capsules and tablets",NA,NA,NA,NA
"alpha-galactosidase capsules",NA,NA,NA,NA
"folic acid",4511,"folic acid",4511,"folic acid"
"methylfolate",NA,NA,NA,NA
"follicle stimulating hormone",227518,"follicle stimulating hormone",227518,"follicle stimulating hormone"
"follitropin beta",25357,"follitropin beta",25357,"follitropin beta"
"duvelisib",2058509,"duvelisib",2058509,"duvelisib"
"copanlisib",1945077,"copanlisib",1945077,"copanlisib"
"salicylic acid and urea topical",NA,NA,NA,NA
"prabotulinumtoxina",NA,NA,NA,NA
"piroxicam",8356,"piroxicam",8356,"piroxicam"
"gentian violet",4778,"gentian violet",4778,"gentian violet"
"chenodiol",NA,NA,NA,NA
"rotavirus vaccine, live",NA,NA,NA,NA
"esomeprazole delayed-release tablets",NA,NA,NA,NA
"sunitinib",357977,"sunitinib",357977,"sunitinib"
"avapritinib",2272107,"avapritinib",2272107,"avapritinib"
"alvimopan",480639,"alvimopan",480639,"alvimopan"
"metoclopramide",6915,"metoclopramide",6915,"metoclopramide"
"eliglustat",1547220,"eliglustat",1547220,"eliglustat"
"imiglucerase",84959,"imiglucerase",84959,"imiglucerase"
"velaglucerase alfa",901805,"velaglucerase alfa",901805,"velaglucerase alfa"
"miglustat",402316,"miglustat",402316,"miglustat"
"taliglucerase alfa",1291609,"taliglucerase alfa",1291609,"taliglucerase alfa"
"insulin nph and insulin regular",NA,NA,NA,NA
"denosumab",993449,"denosumab",993449,"denosumab"
"chlorhexidine gluconate",NA,NA,NA,NA
"azficel-t",1114112,"azficel-t",1114112,"azficel-t"
"brimonidine and timolol ophthalmic",NA,NA,NA,NA
"tafluprost ophthalmic",NA,NA,NA,NA
"latanoprostene bunod ophthalmic",NA,NA,NA,NA
"pilocarpine ophthalmic",NA,NA,NA,NA
"pilocarpine",8328,"pilocarpine",8328,"pilocarpine"
"latanoprost ophthalmic",NA,NA,43611,"latanoprost"
"bimatoprost ophthalmic",NA,NA,NA,NA
"timolol ophthalmic",NA,NA,NA,NA
"dorzolamide and timolol ophthalmic",NA,NA,NA,NA
"dorzolamide ophthalmic",NA,NA,NA,NA
"brinzolamide ophthalmic",NA,NA,NA,NA
"brimonidine and brinzolamide ophthalmic",NA,NA,NA,NA
"travoprost ophthalmic",NA,NA,283809,"travoprost"
"levobunolol ophthalmic",NA,NA,NA,NA
"methazolamide",6826,"methazolamide",6826,"methazolamide"
"apraclonidine ophthalmic",NA,NA,NA,NA
"carbachol ophthalmic",NA,NA,NA,NA
"mitomycin ophthalmic",NA,NA,NA,NA
"echothiophate iodide ophthalmic",NA,NA,NA,NA
"ganirelix",35825,"ganirelix",35825,"ganirelix"
"levonorgestrel and ethinyl estradiol",NA,NA,NA,NA
"cefixime",25033,"cefixime",25033,"cefixime"
"febuxostat",73689,"febuxostat",73689,"febuxostat"
"pegloticase",1011650,"pegloticase",1011650,"pegloticase"
"lesinurad",1731031,"lesinurad",1731031,"lesinurad"
"colchicine and probenecid",NA,NA,214452,"colchicine / probenecid"
"ruxolitinib",1193326,"ruxolitinib",1193326,"ruxolitinib"
"colistimethate",NA,NA,NA,NA
"macimorelin",NA,NA,NA,NA
"carbidopa and levodopa",NA,NA,103990,"carbidopa / levodopa"
"carbidopa",2019,"carbidopa",2019,"carbidopa"
"haemophilus b conjugate vaccine",NA,NA,NA,NA
"cladribine",44157,"cladribine",44157,"cladribine"
"pentostatin",8011,"pentostatin",8011,"pentostatin"
"moxetumomab pasudotox",2099295,"moxetumomab pasudotox",2099295,"moxetumomab pasudotox"
"aspirin and caffeine",NA,NA,214250,"aspirin / caffeine"
"malathion topical",NA,NA,NA,NA
"permethrin topical",NA,NA,NA,NA
"piperonyl butoxide and pyrethrins topical",NA,NA,NA,NA
"spinosad topical",NA,NA,NA,NA
"permethrin cream rinse and lotion",NA,NA,NA,NA
"pyrethrins and piperonyl butoxide gel and liquid",NA,NA,NA,NA
"lindane topical",NA,NA,NA,NA
"pyrethrins and piperonyl butoxide shampoo",NA,NA,NA,NA
"permethrin",33199,"permethrin",33199,"permethrin"
"lice cleanser shampoo",NA,NA,NA,NA
"acetaminophen, butalbital, and caffeine",NA,NA,NA,NA
"aspirin, butalbital, and caffeine",NA,NA,NA,NA
"acetaminophen, butalbital, caffeine, and codeine",NA,NA,NA,NA
"acetaminophen and butalbital",NA,NA,214178,"acetaminophen / butalbital"
"aspirin, butalbital, caffeine, and codeine",NA,NA,NA,NA
"electrolyte tablets",NA,NA,NA,NA
"electrolyte oral solution, freezer-pops, and jell cups",NA,NA,NA,NA
"bismuth subcitrate potassium, metronidazole, and tetracycline",NA,NA,NA,NA
"amoxicillin, clarithromycin, and lansoprazole",NA,NA,NA,NA
"amoxicillin, clarithromycin, and omeprazole",NA,NA,NA,NA
"deferasirox",614373,"deferasirox",614373,"deferasirox"
"eculizumab",591781,"eculizumab",591781,"eculizumab"
"ravulizumab",2107301,"ravulizumab",2107301,"ravulizumab"
"ravulizumab-cwvz",NA,NA,NA,NA
"emapalumab",2104604,"emapalumab",2104604,"emapalumab"
"emicizumab",1989794,"emicizumab",1989794,"emicizumab"
"antihemophilic factor",NA,NA,4257,"factor viii"
"anti-inhibitor coagulant complex",314504,"anti-inhibitor coagulant complex",314504,"anti-inhibitor coagulant complex"
"antihemophilic and von willebrand factor complex",NA,NA,NA,NA
"mesna",44,"mesna",44,"mesna"
"glycerin, petrolatum, phenylephrine, and pramoxine topical",NA,NA,NA,NA
"pramoxine and hydrocortisone rectal foam",NA,NA,NA,NA
"dibucaine topical",NA,NA,NA,NA
"phenylephrine",8163,"phenylephrine",8163,"phenylephrine"
"hydrocortisone and lidocaine",NA,NA,106964,"hydrocortisone / lidocaine"
"pramoxine topical",NA,NA,NA,NA
"glycerin and witch hazel topical",NA,NA,NA,NA
"hydrocortisone rectal cream",NA,NA,NA,NA
"deferiprone",11645,"deferiprone",11645,"deferiprone"
"thrombin",10528,"thrombin",10528,"thrombin"
"protamine",NA,NA,NA,NA
"sorafenib",495881,"sorafenib",495881,"sorafenib"
"defibrotide",1311089,"defibrotide",1311089,"defibrotide"
"hepatitis a adult vaccine",NA,NA,NA,NA
"hepatitis a and hepatitis b vaccine",NA,NA,NA,NA
"hepatitis a pediatric vaccine",NA,NA,NA,NA
"immune globulin ",NA,NA,NA,NA
"hepatitis b adult vaccine",NA,NA,NA,NA
"hepatitis b pediatric vaccine",NA,NA,NA,NA
"cabozantinib",1363268,"cabozantinib",1363268,"cabozantinib"
"bioflavonoids",NA,NA,NA,NA
"icatibant",1148138,"icatibant",1148138,"icatibant"
"complement c1 esterase inhibitor",NA,NA,1599832,"c1 esterase inhibitor"
"ecallantide",658708,"ecallantide",658708,"ecallantide"
"lanadelumab-flyo",NA,NA,NA,NA
"conestat alfa",NA,NA,NA,NA
"lanadelumab",2055641,"lanadelumab",2055641,"lanadelumab"
"nitisinone",61805,"nitisinone",61805,"nitisinone"
"acyclovir",281,"acyclovir",281,"acyclovir"
"penciclovir topical",NA,NA,NA,NA
"acyclovir cream",NA,NA,NA,NA
"famciclovir",68099,"famciclovir",68099,"famciclovir"
"acyclovir and hydrocortisone topical",NA,NA,NA,NA
"docosanol topical",NA,NA,NA,NA
"allantoin, camphor, and phenol",NA,NA,NA,NA
"zoster vaccine",NA,NA,NA,NA
"zoster vaccine live",NA,NA,1292422,"varicella-zoster virus vaccine live (oka-merck) strain"
"atorvastatin",83367,"atorvastatin",83367,"atorvastatin"
"pravastatin",42463,"pravastatin",42463,"pravastatin"
"ezetimibe",341248,"ezetimibe",341248,"ezetimibe"
"ezetimibe and simvastatin",NA,NA,484211,"ezetimibe / simvastatin"
"lovastatin",6472,"lovastatin",6472,"lovastatin"
"bempedoic acid",2282403,"bempedoic acid",2282403,"bempedoic acid"
"aluminum hydroxide and magnesium trisilicate",NA,NA,687198,"aluminum hydroxide / magnesium trisilicate"
"chlorpromazine",2403,"chlorpromazine",2403,"chlorpromazine"
"prochlorperazine",8704,"prochlorperazine",8704,"prochlorperazine"
"abciximab",83929,"abciximab",83929,"abciximab"
"eflornithine topical",NA,NA,NA,NA
"flutamide",4508,"flutamide",4508,"flutamide"
"emtricitabine and tenofovir disoproxil fumarate",NA,NA,NA,NA
"efavirenz, emtricitabine, and tenofovir",NA,NA,NA,NA
"ritonavir",85762,"ritonavir",85762,"ritonavir"
"raltegravir",719872,"raltegravir",719872,"raltegravir"
"darunavir",460132,"darunavir",460132,"darunavir"
"abacavir, dolutegravir, and lamivudine",NA,NA,NA,NA
"cobicistat, elvitegravir, emtricitabine, and tenofovir",NA,NA,NA,NA
"dolutegravir",1433868,"dolutegravir",1433868,"dolutegravir"
"emtricitabine, rilpivirine, and tenofovir",NA,NA,NA,NA
"abacavir and lamivudine",NA,NA,614534,"abacavir / lamivudine"
"atazanavir&gt;",NA,NA,NA,NA
"emtricitabine and tenofovir alafenamide",NA,NA,1727491,"emtricitabine / tenofovir alafenamide"
"lopinavir and ritonavir",NA,NA,284640,"lopinavir / ritonavir"
"bictegravir, emtricitabine, and tenofovir",NA,NA,NA,NA
"efavirenz",195085,"efavirenz",195085,"efavirenz"
"etravirine",475969,"etravirine",475969,"etravirine"
"emtricitabine and tenofovir",NA,NA,NA,NA
"abacavir",190521,"abacavir",190521,"abacavir"
"bleomycin",1622,"bleomycin",1622,"bleomycin"
"dacarbazine",3098,"dacarbazine",3098,"dacarbazine"
"etoposide",4179,"etoposide",4179,"etoposide"
"brentuximab vedotin",1147320,"brentuximab vedotin",1147320,"brentuximab vedotin"
"etoposide phosphate",NA,NA,NA,NA
"lomitapide",1364479,"lomitapide",1364479,"lomitapide"
"bazedoxifene and conjugated estrogens",NA,NA,NA,NA
"esterified estrogens and methyltestosterone",NA,NA,NA,NA
"podophyllum resin",NA,NA,8462,"podophyllin"
"resorcinol",35382,"resorcinol",35382,"resorcinol"
"human papillomavirus vaccine, 9-valent",NA,NA,NA,NA
"tetrabenazine",10390,"tetrabenazine",10390,"tetrabenazine"
"deutetrabenazine",1876905,"deutetrabenazine",1876905,"deutetrabenazine"
"carglumic acid",401713,"carglumic acid",401713,"carglumic acid"
"sodium phenylacetate and sodium benzoate",NA,NA,NA,NA
"phenobarbital",8134,"phenobarbital",8134,"phenobarbital"
"zoledronic acid",77655,"zoledronic acid",77655,"zoledronic acid"
"cinacalcet",407990,"cinacalcet",407990,"cinacalcet"
"pamidronate",11473,"pamidronate",11473,"pamidronate"
"calcitonin injection",NA,NA,NA,NA
"calcitonin-salmon",NA,NA,36118,"salmon calcitonin"
"aluminum chloride hexahydrate",NA,NA,NA,NA
"glycopyrrolate topical",NA,NA,NA,NA
"folic acid and cyanocobalamin",NA,NA,NA,NA
"sodium polystyrene sulfonate",56512,"sodium polystyrene sulfonate",56512,"sodium polystyrene sulfonate"
"patiromer",1716203,"patiromer",1716203,"patiromer"
"sodium zirconium cyclosilicate",2047628,"sodium zirconium cyclosilicate",2047628,"sodium zirconium cyclosilicate"
"dichlorphenamide",3353,"dichlorphenamide",3353,"dichlorphenamide"
"gemfibrozil",4719,"gemfibrozil",4719,"gemfibrozil"
"niacin",7393,"niacin",7393,"niacin"
"fenofibric acid",NA,NA,NA,NA
"fenofibrate",8703,"fenofibrate",8703,"fenofibrate"
"colestipol",2685,"colestipol",2685,"colestipol"
"etelcalcetide",1876119,"etelcalcetide",1876119,"etelcalcetide"
"calcifediol",1889,"calcifediol",1889,"calcifediol"
"sevelamer",214824,"sevelamer",214824,"sevelamer"
"lanthanum carbonate",234416,"lanthanum carbonate",234416,"lanthanum carbonate"
"sucroferric oxyhydroxide",1484283,"sucroferric oxyhydroxide",1484283,"sucroferric oxyhydroxide"
"ferric citrate",1594675,"ferric citrate",1594675,"ferric citrate"
"magnesium carbonate",29155,"magnesium carbonate",29155,"magnesium carbonate"
"calcium acetate",214342,"calcium acetate",214342,"calcium acetate"
"calcium acetate capsules",NA,NA,NA,NA
"cabergoline",47579,"cabergoline",47579,"cabergoline"
"olmesartan",321064,"olmesartan",321064,"olmesartan"
"nebivolol",31555,"nebivolol",31555,"nebivolol"
"hydrochlorothiazide and lisinopril",NA,NA,214618,"hydrochlorothiazide / lisinopril"
"labetalol",6185,"labetalol",6185,"labetalol"
"nitroprusside",7476,"nitroprusside",7476,"nitroprusside"
"methyldopa",6876,"methyldopa",6876,"methyldopa"
"fenoldopam",24853,"fenoldopam",24853,"fenoldopam"
"diazoxide",3327,"diazoxide",3327,"diazoxide"
"clevidipine",233603,"clevidipine",233603,"clevidipine"
"methimazole",6835,"methimazole",6835,"methimazole"
"potassium iodide and iodine",NA,NA,NA,NA
"omega-3 fatty acid capsules",NA,NA,NA,NA
"rasburicase",283821,"rasburicase",283821,"rasburicase"
"flibanserin",1665509,"flibanserin",1665509,"flibanserin"
"bremelanotide",2176312,"bremelanotide",2176312,"bremelanotide"
"calcitriol",1894,"calcitriol",1894,"calcitriol"
"calcitriol capsules",NA,NA,NA,NA
"calcium carbonate capsules and tablets",NA,NA,NA,NA
"parathyroid hormone",1427222,"parathyroid hormone",1427222,"parathyroid hormone"
"calcium lactate",47622,"calcium lactate",47622,"calcium lactate"
"calcium phosphate, tribasic",NA,NA,47628,"tricalcium phosphate"
"estropipate",33747,"estropipate",33747,"estropipate"
"testosterone topical",NA,NA,NA,NA
"testosterone buccal",NA,NA,NA,NA
"testosterone nasal",NA,NA,NA,NA
"testosterone oral",NA,NA,NA,NA
"potassium chloride",8591,"potassium chloride",8591,"potassium chloride"
