Code Range,CCS,CCS Label,l,r
G0291-G0291,45,Percutaneous transluminal coronary angioplasty (PTCA),G0291,G0291
G0292-G0292,240,"Medications (Injections, infusions and other forms)",G0292,G0292
G0293-G0293,231,Other therapeutic procedures,G0293,G0293
G0294-G0294,231,Other therapeutic procedures,G0294,G0294
G0295-G0295,174,Other non-OR therapeutic procedures on skin and breast,G0295,G0295
G0296-G0296,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0296,G0296
G0297-G0297,178,CT scan chest,G0297,G0297
G0298-G0298,206,"Microscopic examination (bacterial smear, culture, toxicology)",G0298,G0298
G0299-G0299,237,Ancillary Services,G0299,G0299
G0300-G0300,237,Ancillary Services,G0300,G0300
G0302-G0302,36,Lobectomy or pneumonectomy,G0302,G0302
G0303-G0303,36,Lobectomy or pneumonectomy,G0303,G0303
G0304-G0304,36,Lobectomy or pneumonectomy,G0304,G0304
G0305-G0305,36,Lobectomy or pneumonectomy,G0305,G0305
G0306-G0306,233,Laboratory - Chemistry and Hematology,G0306,G0306
G0307-G0307,233,Laboratory - Chemistry and Hematology,G0307,G0307
G0308-G0308,58,Hemodialysis,G0308,G0308
G0309-G0309,58,Hemodialysis,G0309,G0309
G0310-G0310,58,Hemodialysis,G0310,G0310
G0311-G0311,58,Hemodialysis,G0311,G0311
G0312-G0312,58,Hemodialysis,G0312,G0312
G0313-G0313,58,Hemodialysis,G0313,G0313
G0314-G0314,58,Hemodialysis,G0314,G0314
G0315-G0315,58,Hemodialysis,G0315,G0315
G0316-G0316,58,Hemodialysis,G0316,G0316
G0317-G0317,58,Hemodialysis,G0317,G0317
G0318-G0318,58,Hemodialysis,G0318,G0318
G0319-G0319,58,Hemodialysis,G0319,G0319
G0320-G0320,236,Home Health Services,G0320,G0320
G0321-G0321,236,Home Health Services,G0321,G0321
G0322-G0322,236,Home Health Services,G0322,G0322
G0323-G0323,236,Home Health Services,G0323,G0323
G0324-G0324,236,Home Health Services,G0324,G0324
G0325-G0325,236,Home Health Services,G0325,G0325
G0326-G0326,236,Home Health Services,G0326,G0326
G0327-G0327,236,Home Health Services,G0327,G0327
G0328-G0328,235,Other Laboratory,G0328,G0328
G0329-G0329,174,Other non-OR therapeutic procedures on skin and breast,G0329,G0329
G0332-G0332,231,Other therapeutic procedures,G0332,G0332
G0333-G0333,240,"Medications (Injections, infusions and other forms)",G0333,G0333
G0336-G0336,209,Radioisotope scan and function studies,G0336,G0336
G0337-G0337,237,Ancillary Services,G0337,G0337
G0338-G0338,211,Therapeutic radiology,G0338,G0338
G0339-G0339,211,Therapeutic radiology,G0339,G0339
G0340-G0340,211,Therapeutic radiology,G0340,G0340
G0341-G0341,176,Other organ transplantation,G0341,G0341
G0342-G0342,176,Other organ transplantation,G0342,G0342
G0343-G0343,176,Other organ transplantation,G0343,G0343
G0344-G0344,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0344,G0344
G0345-G0345,231,Other therapeutic procedures,G0345,G0345
G0346-G0346,231,Other therapeutic procedures,G0346,G0346
G0347-G0347,231,Other therapeutic procedures,G0347,G0347
G0348-G0348,231,Other therapeutic procedures,G0348,G0348
G0349-G0349,231,Other therapeutic procedures,G0349,G0349
G0350-G0350,231,Other therapeutic procedures,G0350,G0350
G0351-G0351,240,"Medications (Injections, infusions and other forms)",G0351,G0351
G0353-G0353,231,Other therapeutic procedures,G0353,G0353
G0354-G0354,231,Other therapeutic procedures,G0354,G0354
G0355-G0355,224,Cancer chemotherapy,G0355,G0355
G0356-G0356,224,Cancer chemotherapy,G0356,G0356
G0357-G0357,224,Cancer chemotherapy,G0357,G0357
G0358-G0358,224,Cancer chemotherapy,G0358,G0358
G0359-G0359,224,Cancer chemotherapy,G0359,G0359
G0360-G0360,224,Cancer chemotherapy,G0360,G0360
G0361-G0361,224,Cancer chemotherapy,G0361,G0361
G0362-G0362,224,Cancer chemotherapy,G0362,G0362
G0363-G0363,231,Other therapeutic procedures,G0363,G0363
G0364-G0364,65,Bone marrow biopsy,G0364,G0364
G0365-G0365,57,"Creation, revision and removal of arteriovenous fistula or vessel-to-vessel cannula for dialysis",G0365,G0365
G0366-G0366,202,Electrocardiogram,G0366,G0366
G0367-G0367,202,Electrocardiogram,G0367,G0367
G0368-G0368,202,Electrocardiogram,G0368,G0368
G0369-G0369,240,"Medications (Injections, infusions and other forms)",G0369,G0369
G0370-G0370,240,"Medications (Injections, infusions and other forms)",G0370,G0370
G0371-G0371,240,"Medications (Injections, infusions and other forms)",G0371,G0371
G0372-G0372,237,Ancillary Services,G0372,G0372
G0374-G0374,240,"Medications (Injections, infusions and other forms)",G0374,G0374
G0375-G0375,237,Ancillary Services,G0375,G0375
G0376-G0376,237,Ancillary Services,G0376,G0376
G0377-G0377,240,"Medications (Injections, infusions and other forms)",G0377,G0377
G0378-G0378,237,Ancillary Services,G0378,G0378
G0379-G0379,237,Ancillary Services,G0379,G0379
G0380-G0380,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0380,G0380
G0381-G0381,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0381,G0381
G0382-G0382,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0382,G0382
G0383-G0383,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0383,G0383
G0384-G0384,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0384,G0384
G0389-G0389,196,Diagnostic ultrasound of abdomen or retroperitoneum,G0389,G0389
G0390-G0390,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0390,G0390
G0392-G0392,61,Other OR procedures on vessels other than head and neck,G0392,G0392
G0393-G0393,61,Other OR procedures on vessels other than head and neck,G0393,G0393
G0394-G0394,233,Laboratory - Chemistry and Hematology,G0394,G0394
G0396-G0396,219,Alcohol and drug rehabilitation/detoxification,G0396,G0396
G0397-G0397,219,Alcohol and drug rehabilitation/detoxification,G0397,G0397
G0398-G0398,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0398,G0398
G0399-G0399,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0399,G0399
G0400-G0400,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0400,G0400
G0402-G0402,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0402,G0402
G0403-G0403,202,Electrocardiogram,G0403,G0403
G0404-G0404,202,Electrocardiogram,G0404,G0404
G0405-G0405,202,Electrocardiogram,G0405,G0405
G0406-G0406,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0406,G0406
G0407-G0407,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0407,G0407
G0408-G0408,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0408,G0408
G0409-G0409,218,Psychological and psychiatric evaluation and therapy,G0409,G0409
G0410-G0410,218,Psychological and psychiatric evaluation and therapy,G0410,G0410
G0411-G0411,218,Psychological and psychiatric evaluation and therapy,G0411,G0411
G0412-G0412,148,Other fracture and dislocation procedure,G0412,G0412
G0413-G0413,148,Other fracture and dislocation procedure,G0413,G0413
G0414-G0414,148,Other fracture and dislocation procedure,G0414,G0414
G0415-G0415,148,Other fracture and dislocation procedure,G0415,G0415
G0416-G0416,116,"Diagnostic procedures, male genital",G0416,G0416
G0417-G0417,116,"Diagnostic procedures, male genital",G0417,G0417
G0418-G0418,116,"Diagnostic procedures, male genital",G0418,G0418
G0419-G0419,116,"Diagnostic procedures, male genital",G0419,G0419
G0420-G0420,237,Ancillary Services,G0420,G0420
G0421-G0421,237,Ancillary Services,G0421,G0421
G0422-G0422,215,Other physical therapy and rehabilitation,G0422,G0422
G0423-G0423,215,Other physical therapy and rehabilitation,G0423,G0423
G0424-G0424,217,Other respiratory therapy,G0424,G0424
G0425-G0425,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0425,G0425
G0426-G0426,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0426,G0426
G0427-G0427,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0427,G0427
G0428-G0428,152,Arthroplasty knee,G0428,G0428
G0429-G0429,240,"Medications (Injections, infusions and other forms)",G0429,G0429
G0430-G0430,206,"Microscopic examination (bacterial smear, culture, toxicology)",G0430,G0430
G0431-G0431,206,"Microscopic examination (bacterial smear, culture, toxicology)",G0431,G0431
G0432-G0432,233,Laboratory - Chemistry and Hematology,G0432,G0432
G0433-G0433,233,Laboratory - Chemistry and Hematology,G0433,G0433
G0434-G0434,206,"Microscopic examination (bacterial smear, culture, toxicology)",G0434,G0434
G0435-G0435,233,Laboratory - Chemistry and Hematology,G0435,G0435
G0436-G0436,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0436,G0436
G0437-G0437,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0437,G0437
G0438-G0438,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0438,G0438
G0439-G0439,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0439,G0439
G0440-G0440,172,Skin graft,G0440,G0440
G0441-G0441,172,Skin graft,G0441,G0441
G0442-G0442,219,Alcohol and drug rehabilitation/detoxification,G0442,G0442
G0443-G0443,219,Alcohol and drug rehabilitation/detoxification,G0443,G0443
G0444-G0444,218,Psychological and psychiatric evaluation and therapy,G0444,G0444
G0445-G0445,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0445,G0445
G0446-G0446,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0446,G0446
G0447-G0447,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0447,G0447
G0448-G0448,48,"Insertion, revision, replacement, removal of cardiac pacemaker or cardioverter/defibrillator",G0448,G0448
G0449-G0449,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0449,G0449
G0451-G0451,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0451,G0451
G0452-G0452,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0452,G0452
G0453-G0453,7,Other diagnostic nervous system procedures,G0453,G0453
G0454-G0454,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0454,G0454
G0455-G0455,95,Other non-OR lower GI therapeutic procedures,G0455,G0455
G0456-G0456,214,"Traction, splints, and other wound care",G0456,G0456
G0457-G0457,214,"Traction, splints, and other wound care",G0457,G0457
G0458-G0458,211,Therapeutic radiology,G0458,G0458
G0459-G0459,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0459,G0459
G0460-G0460,231,Other therapeutic procedures,G0460,G0460
G0461-G0461,234,Pathology,G0461,G0461
G0462-G0462,234,Pathology,G0462,G0462
G0463-G0463,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0463,G0463
G0464-G0464,235,Other Laboratory,G0464,G0464
G0466-G0466,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0466,G0466
G0467-G0467,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0467,G0467
G0468-G0468,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0468,G0468
G0469-G0469,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0469,G0469
G0470-G0470,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0470,G0470
G0471-G0471,235,Other Laboratory,G0471,G0471
G0472-G0472,235,Other Laboratory,G0472,G0472
G0473-G0473,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0473,G0473
G0475-G0475,206,"Microscopic examination (bacterial smear, culture, toxicology)",G0475,G0475
G0476-G0476,206,"Microscopic examination (bacterial smear, culture, toxicology)",G0476,G0476
G0477-G0477,235,Other Laboratory,G0477,G0477
G0478-G0478,235,Other Laboratory,G0478,G0478
G0479-G0479,235,Other Laboratory,G0479,G0479
G0480-G0480,235,Other Laboratory,G0480,G0480
G0481-G0481,235,Other Laboratory,G0481,G0481
G0482-G0482,235,Other Laboratory,G0482,G0482
G0483-G0483,235,Other Laboratory,G0483,G0483
G0490-G0490,236,Home Health Services,G0490,G0490
G0491-G0491,58,Hemodialysis,G0491,G0491
G0492-G0492,58,Hemodialysis,G0492,G0492
G0493-G0493,236,Home Health Services,G0493,G0493
G0494-G0494,236,Home Health Services,G0494,G0494
G0495-G0495,236,Home Health Services,G0495,G0495
G0496-G0496,236,Home Health Services,G0496,G0496
G0498-G0498,224,Cancer chemotherapy,G0498,G0498
G0499-G0499,235,Other Laboratory,G0499,G0499
G0500-G0500,232,Anesthesia,G0500,G0500
G0501-G0501,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0501,G0501
G0502-G0502,218,Psychological and psychiatric evaluation and therapy,G0502,G0502
G0503-G0503,218,Psychological and psychiatric evaluation and therapy,G0503,G0503
G0504-G0504,218,Psychological and psychiatric evaluation and therapy,G0504,G0504
G0505-G0505,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0505,G0505
G0506-G0506,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0506,G0506
G0507-G0507,218,Psychological and psychiatric evaluation and therapy,G0507,G0507
G0508-G0508,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0508,G0508
G0509-G0509,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0509,G0509
G0511-G0511,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0511,G0511
G0512-G0512,218,Psychological and psychiatric evaluation and therapy,G0512,G0512
G0513-G0513,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0513,G0513
G0514-G0514,227,"Other diagnostic procedures (interview, evaluation, consultation)",G0514,G0514
G0515-G0515,215,Other physical therapy and rehabilitation,G0515,G0515
G0516-G0516,231,Other therapeutic procedures,G0516,G0516
G0517-G0517,174,Other non-OR therapeutic procedures on skin and breast,G0517,G0517
G0518-G0518,231,Other therapeutic procedures,G0518,G0518
G0659-G0659,235,Other Laboratory,G0659,G0659
G2000-G2000,231,Other therapeutic procedures,G2000,G2000
G2010-G2010,227,"Other diagnostic procedures (interview, evaluation, consultation)",G2010,G2010
G2011-G2011,227,"Other diagnostic procedures (interview, evaluation, consultation)",G2011,G2011
G2012-G2012,227,"Other diagnostic procedures (interview, evaluation, consultation)",G2012,G2012
G3001-G3001,240,"Medications (Injections, infusions and other forms)",G3001,G3001
G6001-G6001,211,Therapeutic radiology,G6001,G6001
G6002-G6002,211,Therapeutic radiology,G6002,G6002
G6003-G6003,211,Therapeutic radiology,G6003,G6003
G6004-G6004,211,Therapeutic radiology,G6004,G6004
G6005-G6005,211,Therapeutic radiology,G6005,G6005
G6006-G6006,211,Therapeutic radiology,G6006,G6006
G6007-G6007,211,Therapeutic radiology,G6007,G6007
G6008-G6008,211,Therapeutic radiology,G6008,G6008
G6009-G6009,211,Therapeutic radiology,G6009,G6009
G6010-G6010,211,Therapeutic radiology,G6010,G6010
G6011-G6011,211,Therapeutic radiology,G6011,G6011
G6012-G6012,211,Therapeutic radiology,G6012,G6012
G6013-G6013,211,Therapeutic radiology,G6013,G6013
G6014-G6014,211,Therapeutic radiology,G6014,G6014
G6015-G6015,211,Therapeutic radiology,G6015,G6015
G6016-G6016,211,Therapeutic radiology,G6016,G6016
G6017-G6017,211,Therapeutic radiology,G6017,G6017
G6018-G6018,70,"Upper gastrointestinal endoscopy, biopsy",G6018,G6018
G6019-G6019,76,Colonoscopy and biopsy,G6019,G6019
G6020-G6020,76,Colonoscopy and biopsy,G6020,G6020
G6021-G6021,96,Other OR lower GI therapeutic procedures,G6021,G6021
G6022-G6022,77,Proctoscopy and anorectal biopsy,G6022,G6022
G6023-G6023,77,Proctoscopy and anorectal biopsy,G6023,G6023
G6024-G6024,76,Colonoscopy and biopsy,G6024,G6024
G6025-G6025,76,Colonoscopy and biopsy,G6025,G6025
G6027-G6027,77,Proctoscopy and anorectal biopsy,G6027,G6027
G6028-G6028,77,Proctoscopy and anorectal biopsy,G6028,G6028
G6030-G6030,235,Other Laboratory,G6030,G6030
G6031-G6031,235,Other Laboratory,G6031,G6031
G6032-G6032,235,Other Laboratory,G6032,G6032
G6034-G6034,235,Other Laboratory,G6034,G6034
G6035-G6035,235,Other Laboratory,G6035,G6035
G6036-G6036,235,Other Laboratory,G6036,G6036
G6037-G6037,235,Other Laboratory,G6037,G6037
G6038-G6038,235,Other Laboratory,G6038,G6038
G6039-G6039,235,Other Laboratory,G6039,G6039
G6040-G6040,235,Other Laboratory,G6040,G6040
G6041-G6041,235,Other Laboratory,G6041,G6041
G6042-G6042,235,Other Laboratory,G6042,G6042
G6043-G6043,235,Other Laboratory,G6043,G6043
G6044-G6044,235,Other Laboratory,G6044,G6044
G6045-G6045,235,Other Laboratory,G6045,G6045
G6046-G6046,235,Other Laboratory,G6046,G6046
G6047-G6047,235,Other Laboratory,G6047,G6047
G6048-G6048,235,Other Laboratory,G6048,G6048
G6049-G6049,235,Other Laboratory,G6049,G6049
G6050-G6050,235,Other Laboratory,G6050,G6050
G6051-G6051,235,Other Laboratory,G6051,G6051
G6052-G6052,235,Other Laboratory,G6052,G6052
G6053-G6053,235,Other Laboratory,G6053,G6053
G6054-G6054,235,Other Laboratory,G6054,G6054
G6055-G6055,235,Other Laboratory,G6055,G6055
G6056-G6056,235,Other Laboratory,G6056,G6056
G6057-G6057,235,Other Laboratory,G6057,G6057
G6058-G6058,235,Other Laboratory,G6058,G6058
G9141-G9141,228,Prophylactic vaccinations and inoculations,G9141,G9141
G9142-G9142,228,Prophylactic vaccinations and inoculations,G9142,G9142
G9143-G9143,235,Other Laboratory,G9143,G9143
G9147-G9147,240,"Medications (Injections, infusions and other forms)",G9147,G9147
G9156-G9156,227,"Other diagnostic procedures (interview, evaluation, consultation)",G9156,G9156
G9157-G9157,203,Electrographic cardiac monitoring,G9157,G9157
G9473-G9473,237,Ancillary Services,G9473,G9473
G9474-G9474,237,Ancillary Services,G9474,G9474
G9475-G9475,237,Ancillary Services,G9475,G9475
G9476-G9476,237,Ancillary Services,G9476,G9476
G9477-G9477,237,Ancillary Services,G9477,G9477
G9478-G9478,237,Ancillary Services,G9478,G9478
G9479-G9479,237,Ancillary Services,G9479,G9479
G9481-G9481,236,Home Health Services,G9481,G9481
G9482-G9482,236,Home Health Services,G9482,G9482
G9483-G9483,236,Home Health Services,G9483,G9483
G9484-G9484,236,Home Health Services,G9484,G9484
G9485-G9485,236,Home Health Services,G9485,G9485
G9486-G9486,236,Home Health Services,G9486,G9486
G9487-G9487,236,Home Health Services,G9487,G9487
G9488-G9488,236,Home Health Services,G9488,G9488
G9489-G9489,236,Home Health Services,G9489,G9489
G9490-G9490,236,Home Health Services,G9490,G9490
G9978-G9978,236,Home Health Services,G9978,G9978
G9979-G9979,236,Home Health Services,G9979,G9979
G9980-G9980,236,Home Health Services,G9980,G9980
G9981-G9981,236,Home Health Services,G9981,G9981
G9982-G9982,236,Home Health Services,G9982,G9982
G9983-G9983,236,Home Health Services,G9983,G9983
G9984-G9984,236,Home Health Services,G9984,G9984
G9985-G9985,236,Home Health Services,G9985,G9985
G9986-G9986,236,Home Health Services,G9986,G9986
G9987-G9987,236,Home Health Services,G9987,G9987
H0001-H0001,219,Alcohol and drug rehabilitation/detoxification,H0001,H0001
H0002-H0002,219,Alcohol and drug rehabilitation/detoxification,H0002,H0002
H0003-H0003,219,Alcohol and drug rehabilitation/detoxification,H0003,H0003
H0004-H0004,219,Alcohol and drug rehabilitation/detoxification,H0004,H0004
H0005-H0005,219,Alcohol and drug rehabilitation/detoxification,H0005,H0005
H0006-H0006,219,Alcohol and drug rehabilitation/detoxification,H0006,H0006
H0007-H0007,219,Alcohol and drug rehabilitation/detoxification,H0007,H0007
H0008-H0008,219,Alcohol and drug rehabilitation/detoxification,H0008,H0008
H0009-H0009,219,Alcohol and drug rehabilitation/detoxification,H0009,H0009
H0010-H0010,219,Alcohol and drug rehabilitation/detoxification,H0010,H0010
H0011-H0011,219,Alcohol and drug rehabilitation/detoxification,H0011,H0011
H0012-H0012,219,Alcohol and drug rehabilitation/detoxification,H0012,H0012
H0013-H0013,219,Alcohol and drug rehabilitation/detoxification,H0013,H0013
H0014-H0014,219,Alcohol and drug rehabilitation/detoxification,H0014,H0014
H0015-H0015,219,Alcohol and drug rehabilitation/detoxification,H0015,H0015
H0016-H0016,219,Alcohol and drug rehabilitation/detoxification,H0016,H0016
H0017-H0017,219,Alcohol and drug rehabilitation/detoxification,H0017,H0017
H0018-H0018,219,Alcohol and drug rehabilitation/detoxification,H0018,H0018
H0019-H0019,219,Alcohol and drug rehabilitation/detoxification,H0019,H0019
H0020-H0020,219,Alcohol and drug rehabilitation/detoxification,H0020,H0020
H0021-H0021,219,Alcohol and drug rehabilitation/detoxification,H0021,H0021
H0022-H0022,219,Alcohol and drug rehabilitation/detoxification,H0022,H0022
H0023-H0023,219,Alcohol and drug rehabilitation/detoxification,H0023,H0023
H0024-H0024,219,Alcohol and drug rehabilitation/detoxification,H0024,H0024
H0025-H0025,219,Alcohol and drug rehabilitation/detoxification,H0025,H0025
H0026-H0026,219,Alcohol and drug rehabilitation/detoxification,H0026,H0026
H0027-H0027,219,Alcohol and drug rehabilitation/detoxification,H0027,H0027
H0028-H0028,219,Alcohol and drug rehabilitation/detoxification,H0028,H0028
H0029-H0029,219,Alcohol and drug rehabilitation/detoxification,H0029,H0029
H0030-H0030,219,Alcohol and drug rehabilitation/detoxification,H0030,H0030
H0031-H0031,218,Psychological and psychiatric evaluation and therapy,H0031,H0031
H0032-H0032,218,Psychological and psychiatric evaluation and therapy,H0032,H0032
H0033-H0033,219,Alcohol and drug rehabilitation/detoxification,H0033,H0033
H0034-H0034,227,"Other diagnostic procedures (interview, evaluation, consultation)",H0034,H0034
H0035-H0035,218,Psychological and psychiatric evaluation and therapy,H0035,H0035
H0036-H0036,218,Psychological and psychiatric evaluation and therapy,H0036,H0036
H0037-H0037,218,Psychological and psychiatric evaluation and therapy,H0037,H0037
H0038-H0038,219,Alcohol and drug rehabilitation/detoxification,H0038,H0038
H0039-H0039,219,Alcohol and drug rehabilitation/detoxification,H0039,H0039
H0040-H0040,219,Alcohol and drug rehabilitation/detoxification,H0040,H0040
H0041-H0041,237,Ancillary Services,H0041,H0041
H0042-H0042,237,Ancillary Services,H0042,H0042
H0043-H0043,237,Ancillary Services,H0043,H0043
H0044-H0044,237,Ancillary Services,H0044,H0044
H0045-H0045,227,"Other diagnostic procedures (interview, evaluation, consultation)",H0045,H0045
H0046-H0046,218,Psychological and psychiatric evaluation and therapy,H0046,H0046
H0047-H0047,219,Alcohol and drug rehabilitation/detoxification,H0047,H0047
H0048-H0048,219,Alcohol and drug rehabilitation/detoxification,H0048,H0048
H0049-H0049,219,Alcohol and drug rehabilitation/detoxification,H0049,H0049
H0050-H0050,219,Alcohol and drug rehabilitation/detoxification,H0050,H0050
H1000-H1000,227,"Other diagnostic procedures (interview, evaluation, consultation)",H1000,H1000
H1001-H1001,227,"Other diagnostic procedures (interview, evaluation, consultation)",H1001,H1001
H1002-H1002,227,"Other diagnostic procedures (interview, evaluation, consultation)",H1002,H1002
H1003-H1003,227,"Other diagnostic procedures (interview, evaluation, consultation)",H1003,H1003
H1004-H1004,227,"Other diagnostic procedures (interview, evaluation, consultation)",H1004,H1004
H1005-H1005,227,"Other diagnostic procedures (interview, evaluation, consultation)",H1005,H1005
H1010-H1010,227,"Other diagnostic procedures (interview, evaluation, consultation)",H1010,H1010
H1011-H1011,227,"Other diagnostic procedures (interview, evaluation, consultation)",H1011,H1011
H2000-H2000,227,"Other diagnostic procedures (interview, evaluation, consultation)",H2000,H2000
H2001-H2001,219,Alcohol and drug rehabilitation/detoxification,H2001,H2001
H2010-H2010,227,"Other diagnostic procedures (interview, evaluation, consultation)",H2010,H2010
H2011-H2011,219,Alcohol and drug rehabilitation/detoxification,H2011,H2011
H2012-H2012,219,Alcohol and drug rehabilitation/detoxification,H2012,H2012
H2013-H2013,218,Psychological and psychiatric evaluation and therapy,H2013,H2013
H2014-H2014,219,Alcohol and drug rehabilitation/detoxification,H2014,H2014
H2015-H2015,219,Alcohol and drug rehabilitation/detoxification,H2015,H2015
H2016-H2016,219,Alcohol and drug rehabilitation/detoxification,H2016,H2016
H2017-H2017,218,Psychological and psychiatric evaluation and therapy,H2017,H2017
H2018-H2018,218,Psychological and psychiatric evaluation and therapy,H2018,H2018
H2019-H2019,219,Alcohol and drug rehabilitation/detoxification,H2019,H2019
H2020-H2020,219,Alcohol and drug rehabilitation/detoxification,H2020,H2020
H2021-H2021,237,Ancillary Services,H2021,H2021
H2022-H2022,237,Ancillary Services,H2022,H2022
H2023-H2023,237,Ancillary Services,H2023,H2023
H2024-H2024,237,Ancillary Services,H2024,H2024
H2025-H2025,219,Alcohol and drug rehabilitation/detoxification,H2025,H2025
H2026-H2026,219,Alcohol and drug rehabilitation/detoxification,H2026,H2026
H2027-H2027,218,Psychological and psychiatric evaluation and therapy,H2027,H2027
H2028-H2028,218,Psychological and psychiatric evaluation and therapy,H2028,H2028
H2029-H2029,218,Psychological and psychiatric evaluation and therapy,H2029,H2029
H2030-H2030,218,Psychological and psychiatric evaluation and therapy,H2030,H2030
H2031-H2031,218,Psychological and psychiatric evaluation and therapy,H2031,H2031
H2032-H2032,218,Psychological and psychiatric evaluation and therapy,H2032,H2032
H2033-H2033,218,Psychological and psychiatric evaluation and therapy,H2033,H2033
H2034-H2034,219,Alcohol and drug rehabilitation/detoxification,H2034,H2034
H2035-H2035,219,Alcohol and drug rehabilitation/detoxification,H2035,H2035
H2036-H2036,219,Alcohol and drug rehabilitation/detoxification,H2036,H2036
H2037-H2037,218,Psychological and psychiatric evaluation and therapy,H2037,H2037
J0120-J0120,240,"Medications (Injections, infusions and other forms)",J0120,J0120
J0128-J0128,240,"Medications (Injections, infusions and other forms)",J0128,J0128
J0129-J0129,240,"Medications (Injections, infusions and other forms)",J0129,J0129
J0130-J0130,240,"Medications (Injections, infusions and other forms)",J0130,J0130
J0131-J0131,240,"Medications (Injections, infusions and other forms)",J0131,J0131
J0132-J0132,240,"Medications (Injections, infusions and other forms)",J0132,J0132
J0133-J0133,240,"Medications (Injections, infusions and other forms)",J0133,J0133
J0135-J0135,240,"Medications (Injections, infusions and other forms)",J0135,J0135
J0150-J0150,240,"Medications (Injections, infusions and other forms)",J0150,J0150
J0151-J0151,240,"Medications (Injections, infusions and other forms)",J0151,J0151
J0152-J0152,240,"Medications (Injections, infusions and other forms)",J0152,J0152
J0153-J0153,240,"Medications (Injections, infusions and other forms)",J0153,J0153
J0170-J0170,240,"Medications (Injections, infusions and other forms)",J0170,J0170
J0171-J0171,240,"Medications (Injections, infusions and other forms)",J0171,J0171
J0178-J0178,240,"Medications (Injections, infusions and other forms)",J0178,J0178
J0180-J0180,240,"Medications (Injections, infusions and other forms)",J0180,J0180
J0185-J0185,240,"Medications (Injections, infusions and other forms)",J0185,J0185
J0190-J0190,240,"Medications (Injections, infusions and other forms)",J0190,J0190
J0200-J0200,240,"Medications (Injections, infusions and other forms)",J0200,J0200
J0202-J0202,240,"Medications (Injections, infusions and other forms)",J0202,J0202
J0205-J0205,240,"Medications (Injections, infusions and other forms)",J0205,J0205
J0207-J0207,240,"Medications (Injections, infusions and other forms)",J0207,J0207
J0210-J0210,240,"Medications (Injections, infusions and other forms)",J0210,J0210
J0215-J0215,240,"Medications (Injections, infusions and other forms)",J0215,J0215
J0220-J0220,240,"Medications (Injections, infusions and other forms)",J0220,J0220
J0221-J0221,240,"Medications (Injections, infusions and other forms)",J0221,J0221
J0256-J0256,240,"Medications (Injections, infusions and other forms)",J0256,J0256
J0257-J0257,240,"Medications (Injections, infusions and other forms)",J0257,J0257
J0270-J0270,240,"Medications (Injections, infusions and other forms)",J0270,J0270
J0275-J0275,240,"Medications (Injections, infusions and other forms)",J0275,J0275
J0278-J0278,240,"Medications (Injections, infusions and other forms)",J0278,J0278
J0280-J0280,240,"Medications (Injections, infusions and other forms)",J0280,J0280
J0282-J0282,240,"Medications (Injections, infusions and other forms)",J0282,J0282
J0285-J0285,240,"Medications (Injections, infusions and other forms)",J0285,J0285
